model,protocol,degree,seed,iid_loss,ood_loss,ood_iid_ratio
RIGNO,A,2,0,0.34910168261589475,0.4070699361784305,1.1660497684461646
RIGNO,A,2,1,0.38425480997505673,0.4167403455490225,1.0845416497872193
RIGNO,A,2,2,0.34904461181360985,0.3964857970998638,1.1359172543582698
RIGNO,B,0,0,0.023180393674775545,0.029178883334601804,1.2587742789870604
RIGNO,B,0,1,0.023949100673032356,0.030505789636914967,1.2737759990823248
RIGNO,B,0,2,0.023222952335090835,0.02917783396388445,1.2564222473899473
RIGNO,B,1,0,0.23331746482975058,0.24282560401857864,1.0407519394048192
RIGNO,B,1,1,0.3493788571359573,0.3451198966597172,0.9878099078142477
RIGNO,B,1,2,0.21651071628706245,0.22882702348891265,1.0568854392662972
RIGNO,B,2,0,0.32781619544364565,0.3970727529775377,1.2112664306904197
RIGNO,B,2,1,0.31856906642468685,0.3887207095939822,1.2202085844573989
RIGNO,B,2,2,0.3311471349739638,0.3993154269464668,1.2058549954776527
RIGNO,C,0,0,0.02295706082321913,0.023876658997363062,1.0400573131388768
RIGNO,C,0,1,0.02234417411645895,0.02292434121592127,1.0259650276818673
RIGNO,C,0,2,0.02278390787243446,0.02341015775504718,1.027486499950713
RIGNO,C,1,0,0.15990417459561035,0.1681242092070626,1.0514060038284825
RIGNO,C,1,1,0.16874927948085108,0.18253489738157988,1.081692899330531
RIGNO,C,1,2,0.1650534690127501,0.1751692009306901,1.0612876056374108
RIGNO,C,2,0,0.37498995806854146,0.4573537216205796,1.2196425845008454
RIGNO,C,2,1,0.372451894107419,0.4568010262449681,1.2264698702625523
RIGNO,C,2,2,0.3494587394769645,0.426502967587018,1.2204673096038914
RIGNO,D,0,0,0.027076408222385412,0.03041022634328704,1.1231263058792782
RIGNO,D,0,1,0.0262088907460381,0.029051095927372525,1.1084443141403864
RIGNO,D,0,2,0.026139122627467534,0.02895681020800921,1.1077957979194295
RIGNO,D,1,0,0.25238376371594634,0.2695613905842549,1.0680615369839783
RIGNO,D,1,1,0.367068815544609,0.367591431421383,1.0014237544968199
RIGNO,D,1,2,0.1961896679407133,0.21962218870793315,1.119438097903815
RIGNO,D,2,0,0.40051254500352834,0.46807853450333214,1.1686988094198363
RIGNO,D,2,1,0.3993872305118511,0.46943078638712005,1.1753775547242753
RIGNO,D,2,2,0.37585065109443777,0.417816285242327,1.1116550790205888
Transolver,A,0,0,0.03533643900649622,0.037683732083532956,1.0664269842415421
Transolver,A,0,1,0.03537726067355834,0.037930057240882886,1.0721592491538656
Transolver,A,0,2,0.03766219325480051,0.040096040476346385,1.0646230878026641
Transolver,A,1,0,0.37142574016004803,0.37628335105255245,1.013078282863248
Transolver,A,1,1,0.4341493044421077,0.42760514145717027,0.9849264690327056
Transolver,A,1,2,0.4188227524794638,0.4159689114056528,0.9931860409757682
Transolver,A,2,0,0.5302858477085829,0.6170704885199666,1.163656339663577
Transolver,A,2,1,0.49399561980739237,0.5865821237489581,1.1874237346024747
Transolver,A,2,2,0.5033788819238544,0.593263214994222,1.178561986404436
Transolver,B,0,0,0.034723475266364406,0.05049738473957405,1.4542721992026344
