model,protocol,degree,task,variable,scope,n,n_geometries,n_unique_x,x_min,x_max,x_mean,x_sd,y_mean,y_median,y_sd,status,intercept,slope,slope_se_cluster,slope_ci95_low,slope_ci95_high,p_cluster,standardized_slope,r2,pearson_r,pearson_p,spearman_rho,spearman_p
GAOT,C,0,C-k0,target_norm_retention,all,1600,400,1600,0.3776723959775004,0.819516746089003,0.7197912852277767,0.11180331424323807,0.32429312436841384,0.31990876793861356,0.023385803168013357,ok,0.4061208035721696,-0.11368250892043114,0.006337493835413872,-0.12614156103920113,-0.10122345680166114,3.4516829035677665e-53,-0.5434956061793625,0.2953874739362754,-0.543495606179365,1.1928334989418017e-123,-0.39638840903579586,2.431082541736972e-61
GAOT,C,1,C-k1,log_nk,all,1600,400,321,9.111403624116159,9.592195614445213,9.398410354881623,0.14872587885895874,0.5178315879590805,0.525966942310333,0.06028325495125251,ok,-0.09191889938316097,0.06487804472441963,0.009559448306106617,0.04608486436550069,0.08367122508333857,4.1616824231396696e-11,0.16006176554488888,0.025619768789378883,0.16006176554498855,1.202448964684215e-10,0.15126376083949458,1.195529797581741e-09
GAOT,C,1,C-k1,beta_k,all,1600,400,1,0.0,0.0,0.0,0.0,0.5178315879590805,0.525966942310333,0.06028325495125251,constant_predictor,,,,,,,,,,,,
GAOT,C,1,C-k1,beta_total,all,1600,400,4,0.0,3.0,2.0025,1.1525293716301959,0.5178315879590805,0.525966942310333,0.06028325495125251,ok,0.5046802231184613,0.006567473078960947,0.0013593792420205865,0.0038950323215645364,0.009239913836357357,1.9382311913038973e-06,0.12556066567762234,0.015765480765407736,0.12556066567762206,4.6930966044905615e-07,0.16119016367878597,8.87215671736145e-11
GAOT,C,1,C-k1,rho_H,all,1600,400,1,0.0,0.0,0.0,0.0,0.5178315879590805,0.525966942310333,0.06028325495125251,constant_predictor,,,,,,,,,,,,
GAOT,C,1,C-k1,log_lambda1_positive,all,1600,400,343,0.6671266100083363,0.7461019031171127,0.7075874038421653,0.014334179386463936,0.5178315879590805,0.525966942310333,0.06028325495125251,ok,0.6625602108071159,-0.20453815608126488,0.1268602851803152,-0.4539362534855446,0.04485994132301485,0.10768506428578228,-0.048635174444648904,0.0023653801932259633,-0.04863517444428554,0.05177045009863806,-0.09277971659305571,0.00020215640391971535
GAOT,C,1,C-k1,initial_rayleigh_quotient,all,1600,400,1600,8.074225456269636,17.246303429376074,11.334696817030435,1.6775784306075634,0.5178315879590805,0.525966942310333,0.06028325495125251,ok,0.43374580754032294,0.007418441073114121,0.0008916624511067144,0.005665497521735778,0.009171384624492464,1.4118838309796326e-15,0.20644234859337013,0.04261844329274256,0.20644234859336077,7.351028562468167e-17,0.14364335493881053,7.871070479531989e-09
GAOT,C,1,C-k1,target_norm_retention,all,1600,400,1600,0.2869736732174376,0.5991884580811021,0.4845623687211373,0.08289913661461802,0.5178315879590805,0.525966942310333,0.06028325495125251,ok,0.36679369702589987,0.31169958850044854,0.02274162633913949,0.2669912045267026,0.3564079724741945,2.6183846284106094e-35,0.428636887485818,0.1837295813135209,0.42863688748580775,1.668049580593296e-72,0.3995640359625141,2.188757276462291e-62
GAOT,C,2,C-k2,log_nk,all,1600,400,321,9.543378146148761,10.04676504723975,9.845505281566203,0.15612627542321453,0.7289827808737752,0.7704966068267816,0.15423100136486523,ok,-5.8898187839343095,0.6722663160011311,0.023223302752270674,0.6266109912190093,0.7179216407832528,4.4959758638769646e-100,0.680527488513425,0.46311766262283416,0.6805274885137513,4.368557844235723e-218,0.5468337378641095,1.8917230383995825e-125
GAOT,C,2,C-k2,beta_k,all,1600,400,4,0.0,3.0,2.0025,1.1525293716301959,0.7289827808737752,0.7704966068267816,0.15423100136486523,ok,0.5617182157859237,0.0835278727030469,0.003854339493690288,0.07595052148465557,0.09110522392143823,2.135922969579614e-69,0.624182724537378,0.389604073610904,0.6241827245373779,1.6144976367299888e-173,0.5354759881979297,2.0815070140647132e-119
